iteration,loss,running_min,v0,v1,v2,delta_nm,gp_max_std,gp_max_var,xi
1,0.6284812500000008,0.6284812500000008,0.0,0.0,0.0,0.0,nan,nan,0.05
2,0.7188265312772256,0.6284812500000008,-0.2509197623052749,0.4507143064099164,0.4639878836228104,0.0,nan,nan,0.05
3,0.36473124999999995,0.36473124999999995,1.0,0.5,1.0,0.0,0.13187529086879052,0.017391092341728105,0.035355339059327376
4,0.621251167276339,0.36473124999999995,-0.020614250489750185,-0.04198407705163726,0.01081155085563279,0.0,0.06397467049693784,0.004092758465191768,0.0282842712474619
5,0.2562728003554564,0.2562728003554564,1.0,-0.23704325331562526,0.30458672588531055,0.0,0.209564439240089,0.043917254194012954,0.025
6,0.18127753321062015,0.18127753321062015,1.0,0.1908421245444002,1.0,0.0,0.2111398662486632,0.04458004311950339,0.020000000000000004
7,0.23699018776040265,0.18127753321062015,1.0,-0.5,0.3963663246909559,0.0,0.2053919429666082,0.04218585023559844,0.016000000000000004
8,0.1381306924609684,0.1381306924609684,1.0,0.07764474199520355,1.0,0.0,0.2863213271790092,0.08197990239754924,0.01889822365046136
9,0.13357216626197868,0.13357216626197868,1.0,0.06326717455914144,1.0,0.0,0.39586807600225304,0.1567115335977256,0.015118578920369089
10,0.10916760114863669,0.10916760114863669,1.0,-0.029438026598567535,1.0,0.0,0.453585295963208,0.205739620714031,0.012094863136295271
11,0.10764653465864013,0.10764653465864013,1.0,-0.03657658111756468,1.0,0.0,0.46020694935129863,0.21179043623122876,0.009675890509036217
12,0.09331030744831734,0.09331030744831734,1.0,-0.12287379667419995,1.0,0.0,0.43767695397803824,0.1915611160434938,0.007740712407228974
13,0.0937952392340809,0.09331030744831734,1.0,-0.11898549896636307,1.0,0.0,0.4362697378779781,0.19033128418811973,0.0061925699257831795
14,0.09132195832804524,0.09132195832804524,1.0,-0.34973386480573043,1.0,0.0,0.4248292260242912,0.1804798712843983,0.01386750490563073
15,0.08769915555282233,0.08769915555282233,1.0,-0.30629815409027283,1.0,0.0,0.4355153463721714,0.18967361692567242,0.011094003924504584
16,0.03575629678094661,0.03575629678094661,0.8461405350104614,-0.2562345053072576,1.0,0.0,0.4993243956173232,0.2493248520586051,0.008875203139603667
